Title,Review_Date,Author,Rating,Review_Title,Review,Review_Url
Abraham Lincoln Vampire Hunter,25 June 2012,Pumpkin_Man,8," What Your History Teacher Never Told You!!!
","This movie started off pretty slow, but got better toward the middle. It was a great blend of horror and political history. You can tell it's based on a graphic novel because of the often bright colors, slow-motion action fight scenes, and cgi gore, but it was still fun. When Abe Lincoln's mother is killed, he vows revenge against the man who did it. When he finds out the killer was a vampire, he's trained by Henry Sturgess to become a fearless vampire hunter. I like the last half of the movie better because Lincoln looks more like himself that we know with the beard. Will Lincoln be able to free the slaves, stop the war, and kill all the vampires during his Presidency? I'd definitely recommend ABRAHAM LINCOLN: VAMPIRE HUNTER!!!",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,1 November 2012,leejpalmer-517-732268,9," Abraham Lincoln: Vampire Hunter
",I didn't have high expectations of this film due solely to it's title. How wrong I was! This is a popcorn movie of the best sort. Ridiculously over the top but in a very entertaining way.,/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,21 October 2012,claudio_carvalho,5," Funny Silliness
","In the Nineteenth Century, the nine-year-old boy Abraham Lincoln witness the vampire Jack Barts (Marton Csokas) sucking the blood and killing his mother. Years later, Abraham Lincoln (Benjamin Walker) seeks revenges against Jack Barts but he fails in his intent of killing the vampire. He is saved by Henry Sturges (Dominic Cooper), who becomes his mentor and teaches how to hunt and kill vampires. Henry sends Abraham to Springfield to kill vampires. He gets a job and lodging in the store of Joshua Speed (Jimmi Simpson) where he meets his black friend Will Johnson (Anthony Mackie). Abraham also dates Mary Todd (Mary Elizabeth Winstead) but keeps his vampire hunter business in secret. After killing Jack Bart, he calls the attention of the powerful and ancient vampire Adam (Rufus Sewell). Abraham becomes a politician and the President of the United States, and soon the leader of the Secession War against the vampires.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,25 June 2012,Michael_Elliott,," Better Than I Expected
",Abraham Lincoln: Vampire Hunter (2012) ,/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,22 June 2012,bkoganbing,6," The Civil War was never taught like this
","If Bruce Catton or Shelby Foote were still alive those distinguished historians would never recognize the Civil War, especially for the root causes shown here. Black slaves aren't an institution in the South for agriculture, to pick cotton and tobacco. They are in bondage for a far more sinister purpose, as food for vampires who have taken control in the south.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,6 July 2012,billygoat1071,6," Different Ridiculous
","Abraham Lincoln: Vampire Hunter sounds like a strange silly title. Some might find it stupid while some will find it peculiarly interesting. People would expect it as a ridiculously fun bloody action film starring one of America's greatest Presidents. Since it's directed by Timur Bekmambetov, one of the most insane action movie directors ever, it suppose to be enjoyably crazy throughout. The film is fun when Abe is killing vampires with his axe, but it gets really different to the biography moments. While everybody is expecting for some awesome ridiculousness, we instead get a lot of serious biography that would take a lot of time to get to the vampire killing. It's entertaining but it could have been a lot more fun.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,10 June 2012,bd101ttlb,8," Solid all around flick with fantastic action
","Just got back from an advanced screening that was the (according to the director) first screening seen by people outside of the cast/crew of the movie. Overall I was very impressed, having never read the book I did not really know what to expect. Acting was good, nothing Oscar worthy but no poor performances. Everyone did their job well, especially Benjamin Walker and Dominic Cooper. They both excelled in their roles as Lincoln and Henry respectively. Plot flowed well and was easy to follow, and the action was absolutely fantastic. It was over the top, fast paced, bloody, and very well done. If you don't mind seeing vampires getting hacked, slashed, and bashed to death in a wide variety of ways, you'll enjoy this movie.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,17 August 2018,nogodnomasters,7," TIME WAITS FOR NO MAN
","I had trouble believing Lincoln's mom (Robin McLeavy) was killed by a vampire when I am pretty sure it was a zombie infestation. Lincoln (Benjamin Walker) vows revenge and is taken under the tutoring of Henry Sturges (Dominic Cooper) a backwoods Van Helsing. In spite of the vampire's brute strength, our rail splitter is able to keep pace. These are not real vampires, but those new Hollywood ""Twilight"" vampires that can go out into the sunlight.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,13 July 2018,hitchcockthelegend,7," Joyously Bonkers!
","It is what it is, a nutty premise made in nutty fashion, but for the undemanding horror fan there's a good time to be had here. Action choreography is of a very good standard, as is, perhaps surprisingly, the CGI. The history aspects of the story, one Abraham Lincoln's accent into justifiable legendary status, are of course a mixture of the based on fact and chaotic popcorn, but it's always interesting, exciting and bloody!",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,1 July 2012,H_Spengler,1," An insulting slap in the face
","I didn't go to this movie expecting Oscar winning caliber, I did want to be entertained, even in a ""turn your brain off"" way. I understand that more often than not when books are adapted into movies, things are changed, cut for time/story, etc. Preserving the main idea of a story can be done even implementing this method without the nuclear meltdown that occurred with this adaptation.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,25 June 2012,Al_The_Strange,7," ""Why, Mr Lincoln, you're full of surprises!""
","Chances are that you've already made up your mind about this film when you read its title. You'll either facepalm at the sacrilege of turning one of history's greatest men into something base and tasteless, or you'll laugh your behind off. Regardless of your reaction, the film may surprise you. Director Timur Bekmanbetov has proved himself to be a master of orchestrating scenes of absurdity and chaos, with beautiful and awe-inspiring action scenes, and with serious demeanor. He does the same here, orchestrating the absurdity with a straight face and plenty of style to satisfy.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,9 October 2012,paul_haakonsen,7," A fun and action-packed ride...
","I must say that this movie was really a nice surprise, as it turned out to be a rather fun and action-packed take on one of the most prominent historical figures in American history. I was somewhat worried that such a take on a legendary figure could have turned out to be insulting in a way or just inappropriate, but it was actually done well enough. Just put off your reality-goggles when you sit down to watch the movie.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,18 October 2012,piranha-army,6," A different tale on the life of Abraham Lincoln.
","This movie was surprisingly entertaining, which I doubted when I saw the trailer. It begins slow but steadily gains speed throughout the film. Though it doesn't get as good as a good vampire film should, it offers a fictional story with a non-fictional setting and characters. Benjamin Walker gives a good performance as the president who believes in vampires. Dominic Cooper as Henry was OK but could of been better. Mary Elizabeth Winstead I believe was miscast in her role as Mary Todd, she was too young for me too believe her as an older Mary Todd. Other than that the film was generally entertaining if leading away to boring conversation parts. The fight scenes are done well and the weapon of choice: An Axe, which is well used in this film. If you like Abraham Lincoln and you like Vampires then you will love this movie!. Thanks for reading and enjoy the Film.",/review/rw2690391/?ref_=tt_urv
Liv and Maddie,1 July 2014,Shopaholic35,7," Has lots of charm and a super talented lead actress.
","Liv and Maddie is surprisingly good. I was expecting an OK show that was somewhat entertaining, instead it is a show that has charm, great comedic timing and is pretty darn adorable. The lead actress who plays both the twins (Dove Cameron) is extremely talented and also has a beautiful voice. She captures the viewers attention and is definitely the star of the show.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,14 July 2014,Ddey65,," Dove Cameron is Disney Channel's New Patty Duke
","Another IMDb User called ""Dog With a Blog"" ""The Brady Bunch"" meets Mister Ed,"" or something to that effect. Likewise, ""Liv and Maddie"" is a new version of ""The Patty Duke Show."" Not ""Double Trouble,"" ""Sister-Sister,"" or ""The Suite Life of Zack & Cody,"" and it's spin-off series. In those twin-coms, the main characters were played by real twins. In fact, in an interview, Dove acknowledged the connection, and said she would love to see Patty Duke have a guest appearance on the show.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,9 December 2013,patrock209,10," entertaining, funny, clever
","I think this show is very good, the best show produced by Disney channel in a while actually. I like the idea of the two twins being complete opposites of each other and have to teach each other how to survive in each others company. I also think that is very clever that both twins are played by Dove Cameron, who by the way is an extremely talented singer and actress as she is able to play both Liv&Maddie who are both complete opposites. Disney hid the twin thing so well that for a while i thought they were played by 2 actual twins. I also like the other family members like joey, parker, the mom and the dad. I especially think the 2 parents are hilarious! However, the one thing i don't understand is that Liv,Maddie and the parents are all white but Joey is Mediterranean and Parker is Asian and there is no mention of them being adopted. The cast is: Dove Cameron as Liv&Maddie Rooney, Joey Bragg as Joey Parker, Tenzing Trainor as Parker Rooney, Kali Roacha as Karen Rooney and Benjamin King as the dad.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,9 April 2021,alexkristianrealdeal,9," This show is great!
",I love the drama in this show although there is this guy called Parker I think he switched names somewhere in the show but he is just confusing I'm not sure if he's supposed to be a genius or an annoying idiot.,/review/rw4292634/?ref_=tt_urv
Liv and Maddie,22 May 2014,NewOCFan,10," Honestly the first Disney Channel show in years I actually enjoy
","Honestly, I don't get any of the hate I've seen with this show. There's a couple of small moments where at least one of the actors will overact in an episode but I don't notice it too much. What honestly interests me most about the show is Dove Cameron as both twins. I wish there could be more of a sisterly bond present in the show because I saw the first episode and I found myself really loving it. I loved how even though Liv is a star fresh out of Hollywood, she doesn't come back as someone over the top, filled with glamour and attitude. That's to be a bit expected and I understand that with other characters on TV that are like that. But I just love how surprisingly sweet she is and Maddie is alright too. Her catchphrase a little but too much but it thankfully hasn't gotten on my nerves yet. The twins are, of course, what make the show. Usually you can find the side characters to be better but I just find the stars of the show to actually be the most interesting. I've watched some of the episodes out of order but I still think it's good and has a few more funny moments and I feel like it should be given more of a chance. Just because the show is colorful and isn't some ""sitcom"" that's really a half an hour PSA, doesn't mean it's not good.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,27 January 2014,aidenevalt,8," surprised
","when I saw the previews for this show all I could think was ""o god not another show. ""But this show actually really isn't as bad as it looks since all of the shows these days stink, you just start to learn to accept new shows. This is one of those shows.Dov Cameron does a great job playing as a role of both of the twins.(though it is disappointing that liv actually isn't real. But what I really liked about this show was that it was nothing like the new shows. It was humorous but not only that is actually has a plot in the story and they do a pretty good job entertaining you. In words this show is a entertaining and humorous show with likable characters this show deserves a 8/10.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,19 September 2013,spongebobcheer,6," Disney Channel comes through!
","What I think some people may forget, is that Disney Channel was not made for the viewing pleasure of adults; sure sometimes there's a show tat may appeal to the young and old audience... but when it comes down to it, Disney Channel is for the kids.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,31 July 2014,welovesamandcat,10," Best show on Disney with Girl Meets World basically
","This show is perfect. The lead is perfect. People are scared to give it credit when it's actually better than most Disney shows. Calling Austin & Ally good and saying this is bad is like calling Drake & Josh bad and saying Shake It Up was better. The lead is awesome and does a fantastic job at playing both twins and no one gives her enough credit for it. I'm glad she was nominated for a Teen Choice Award during the first season of her show. That goes to show she's actually talented. The last people who got that treatment was Bridgit and Demi. So Dove getting that nomination is Huge. The season finale was A+. I feel Disney is making it look bad by playing the parody video FROYO YOLO when Dove talents is more than that. That video was a joke and they make it look real. I see a bright future for this show and lead. I just wish haters would accept it. Disney shows were horrible when it was Ant Farm, Jessie DWAB, Austin & Ally, Shake It Up on the air. Now that Liv and Maddie, Girl Meets World and the Not so good but watchable I Didn't Do It is on air people still bash it. These shows aren't that bad, give the new projects Disney is working on a chance. Watch 5 episodes and get hooked. Liv and Maddie is easily to get hooked too. The lead is beautiful, can act and sing. She has a movie coming out with Jessica Alba and Samuel L Jackson and just got done filming what is to be said the next High School Musical. It was directed by Kenny the creator and director of High School Musical! I'm so ready to see Dove the lead get bigger and hope she wins her TCA. Liv and Maddie is awesome and I'll watch it over any Disney show today. Btw I think Disney worse actress decision was Laura Marano, she's just not it and Ross Lynch isn't too good either.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,6 January 2019,dustyklesner,2," Overuse of laughter machine
",Difficult to focus on the show with all the fake audience laughing. Extremely annoying.,/review/rw4292634/?ref_=tt_urv
Liv and Maddie,24 April 2020,spongebobington,6," Good show
","Disney seems to have entered another 'dark age' with its sitcoms. Bland shows that last for 2 seasons tops, low ratings and a lack of fresh ideas.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,7 September 2014,Georgeprknight,9," Nearly better than Good Luck Charlie!
",After several downpours of poor crappy Disney shows like Shake it up. I never thought Disney channel would have any good shows again. But I was wrong!,/review/rw4292634/?ref_=tt_urv
Liv and Maddie,20 November 2013,essieli,8," Pretty good for a new show!!
","First, I must say, I am Disney Obsessed. I'm 20 years old, and after watching the channel with my little sister, I got hooked on it. From the good as in Good Luck Charlie to the iffy but alright shows like Shake It Up. What can I say, I'm a kid at heart :)",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,17 May 2020,ryaneman-83783,10," A Nice Show
","It shows promising where it has good characters, music, jokes and stories though there are times that it might get cheesy. Overall, it got me hooked, has charm, and is nicely executed.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,15 June 2014,ruibastos522,8," Just plain nice....
","The show is really just a well written success. Liv and Maddie is an American sitcom created by John Beck and Ron Hart and produced by It's a Laugh Productions for Disney Channel. It stars Dove Cameron playing identical twins. The series began production in April 2013 with a pilot episode aired on July 19, 2013.[1][2] The first promo for the series was seen on Friday, June 28, 2013, after the premiere of a Disney's Mickey Mouse Shorts.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,2 December 2020,albanog-67613,10," My favorite Disney Channel TV show
","Do you know those things that you watch when your really young and four years later you find it on Netflix?Yeah that's what happened to me.I cried the first time I watched it and as a 7 year old I would stop watching anything that's sad, well it didn't happen this time.As a kid I was always wanted to be a twin so any movie/tv show that had twins I would watch it.Well Disney Channel impressed me(like that didn't happen like a hundred times).",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,28 April 2021,Torrey_Warlord,10," This show is funny!
","Dove did the best Job in this tv show! She need to be on more tv shows and movies with the more lovable face and smile and voice! I enjoyed watching this show with ""Dove Cameron "".",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,5 November 2020,Torrey_Warlord,10," Awesome show!
",Dove is a great artist and playing as two characters In a show she does an amazing job! I would like to see her in many more movies and tv shows!,/review/rw4292634/?ref_=tt_urv
Liv and Maddie,20 August 2018,brianp727,10," Pleasantly surprised
","I have to say I was not expecting to fall in love with this show like I did. Dove camron did an amazing job playing both liv and Maddie, two completely different characters. The supporting characters are amazing as well. I loved this show so much I actually cried on the series finale. Great job Disney.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,1 July 2017,cadencottle,9," This was my FAVORITE TV show for a LONG TIME
","I LOVED this TV show!! Joey was funny, Liv was cute (and still is), Parker was probably my favorite character, and Maddie was a baller! The show was awesome! But, the 3rd season was kinda hard to follow.... (I watched all 1 episode every week or so. My favorite episode (SPOILER!!!! SPOILER!!!) was when Parker invented a suit coat to go to a wedding and then steal some food was hilarious!! Anyway go watch it!!!",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,25 January 2021,waqassaleem-85201,8," Outstanding
",A great show. Great comedy with a good story and great performances. Has social messages throughout the show. Definitely a must watch.,/review/rw4292634/?ref_=tt_urv
Liv and Maddie,3 August 2021,chloebetts,8," Fun Disney show
",Absolutely amazing. That's all that needs to be said. Dove Cameron playing both roles is just ✨chefs kiss✨,/review/rw4292634/?ref_=tt_urv
Liv and Maddie,2 March 2014,cro25,1," The Worst of the Worse
","This show is Disney at its lowest. We all know not to expect too much from a Disney Channel series, but where ""Good Luck, Charlie"" was saved by better-than-usual writing, and an extremely likable cast led by Leigh-Allyn Baker, and Jason Dolley; ""Liv and Maddie"" has neither. And for some inexplicable reason, the youngest son is Tibetan, with skin five shades darker than his parents and siblings. ",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,14 May 2020,benwallwork,2," TRASH
","This series has some of the worst characters in a television show that I have ever seen. There isn't a single character that isn't annoying, they are just plain bland and underdeveloped.",/review/rw4292634/?ref_=tt_urv
Liv and Maddie,19 August 2018,daisymbradley,10," AMAZING!!!!!!
",I love Dove Cameron and as both twins it's like double the power. I'm 18 and I've followed the series since the first episode and I've haven't stopped binge watching it since. I LOVE IT!!!!!!!!!,/review/rw4292634/?ref_=tt_urv
In the Loop,22 July 2009,MovieAddict2016,9," This film may one day be for politics what Spinal Tap was for heavy metal.
","In the Loop is an unusually good and funny film from a usually tepid and rather unfunny genre. After enduring an onslaught of mediocre films centered around the war in Iraq, 2009 seems to have finally brought audiences closer to cinematic resolution: first Kathryn Bigelow's invigorating The Hurt Locker gave us a fresh insight, and now this: a relatively lighter affair, to be sure, but one of such rapid-fire wit that a second viewing is almost required.",/review/rw2209468/?ref_=tt_urv
In the Loop,25 January 2010,Buddy-51,8," Now THAT'S great writing
","One of the wittiest and most sophisticated movie satires of recent vintage, ""In the Loop"" provides us with a hilarious behind-the-scenes glimpse into the ugly, messy world of international diplomacy. The mad run-up to the Iraq war serves as the obvious blueprint for the fictional - yet far from make-believe - tale the writers have come up with here. We begin in London where news has just leaked out that the British and Americans are planning a military invasion of an unspecified country in the Middle East. When the bumbling Minister for International Development, Simon Foster, accidentally goes off script by stating in an interview that such a war is ""unforeseeable,"" the Prime Minister's staff goes into immediate damage control mode, hustling Foster off to Washington D.C. to see if they can get him in on the pre-war planning and negotiations. From that point on, Foster becomes a bone-of-contention between the pro-war and anti-war factions battling it out for preeminence.",/review/rw2209468/?ref_=tt_urv
In the Loop,11 August 2009,jaredmobarak,8," An anti-war shag?  In the Loop
","There is something about British comedy that resonates with me. I don't know if it is because we in the States experience so little of it, or maybe because Hollywood rapes and pillages the material for their own water-downed versions, but the humor just seems fresh, uncensored, and hilarious. When I first came across the new political black comedy In the Loop, I will admit to being less than interested. The marketing materials were using the whole Obama silkscreen poster look and I really wasn't interested in a movie about how the US and Britain decided to go into the Middle East. But then the buzz started. The realization that the film was shot with a penchant for improv, a desire to entertain rather than teach, and a cast of characters looking as though they are in a Christopher Guest movie, soon turned that preconception around. This is a fantastic film that never lets up on the laughs or one-liners. I just hope people go into it knowing that this isn't how it actually happened  but then who knows? Sometimes the truth is stranger than fiction.",/review/rw2209468/?ref_=tt_urv
In the Loop,2 August 2009,ferguson-6,7," Unforseeable
","Greetings again from the darkness. A spin-off of the British series The Thick of it, this film comes across as an odd mixture of Dr Strangelove, Spinal Tap, The Office ... think Christopher Guest remakes The West Wing. There are some incredibly funny lines and therein lies the films only problem.",/review/rw2209468/?ref_=tt_urv
In the Loop,9 February 2016,morrison-dylan-fan,10," My 10th favourite film of all time/my 1000th review.
","Channel surfing late one night,I came across a new Comedy show on the BBC by Alan Partridge creator Armando Iannucci.Knowing nothing about the series,I was left breathless by the lightning fast one liners being joined by a satirical edge which gave the comedy a dramatic bite.",/review/rw2209468/?ref_=tt_urv
In the Loop,19 April 2009,the_rattlesnake25,9," Wall-Ace and Gromit!
","One of the best political satirical comedies in years! 'In The Loop' is a spin-off (kind-of) of the fantastic British comedy 'The Thick of It', and follows Simon Foster (Tom Hollander), a Cabinet Minister who makes a series of unfortunate slip-ups, the first is when he tells an interviewer that he believes war (always referred to as the invasion or the war, but never Iraq or potentially Afghanistan) is ""unforeseeable"" before telling journalists under pressure that you have to conquer a mountain of conflict on the path of peace. These mistakes place him in the middle of a diplomatic mine-field as both, the anti-war constabulary led by General Miller (James Gandolfini) and the Assistant Secretary of Diplomacy Karen Clark (Mimi Kennedy), and the gung-ho supporter of war Linton Barwick (David Rasche) - so crazy he keeps a live grenade as a paperweight - want Simon as a transatlantic partner to support their cause. Should he put his conscience or his political career first? Oh, and throw in hilariously vicious Senior British Press Office Malcolm Tucker (Peter Capaldi) and a bumbling Adviser to the minster (Toby played by Chris Addison) and you have one of the best political satires to come from Britain in years.",/review/rw2209468/?ref_=tt_urv
In the Loop,15 January 2010,paul2001sw-1,10," F**ing subsidised foreign vowels
","Armando Iannucci's brilliant political satire, 'The Thick Of It', takes obvious cues from real events (and personalities) in British politics; and cooks these ingredients into a splendidly toxic broth personified by the character of Maclolm Tucker, spin doctor extraordinaire, the man with the most inventive foulmouth on the planet. The other protagonists are slimy, incompetent, self-serving; but part of Iannucci's genius is that even as you hate them, you almost end up feeling sorry for them as well, doomed to play their part in the political machine. It's a brilliant programme; what's even more unusual is the success of its adaptation to the big screen. To make 'In the Loop', Iannucci has directly addressed one of the biggest recent political stories, the second Gulf War, which also allows him to introduce a range of American archetypes into his drama; as with his British characters, the mixture of exaggeration, subtlety and sheer venality in their portrayals is wonderfully judged. And although wholly fictional, as an account of how certain intelligence dossiers came to be faked, it's also wholly compelling and believable. Less surprisingly, many of the regular cast from the TV series also feature in the film, although (Peter Capaldi as Tucker aside) in slightly different roles. But there's no denying the basic quality of the humour here; the title of this review, incidentally, is one character's description of opera. A film which makes you laugh or think as much is rare; one which does both is something special indeed.",/review/rw2209468/?ref_=tt_urv
